Symbol	Tickers	ID	Created	ArrivalDate	ArrivalTime	CurlTime	Headline	Author	Float	MktCap	Exchange	LastDailyClose	itiBaseline	tradeSizeBaseline	FinBERTCompletedAt	positive	negative	neutral	sentiment_score	label	Sentiment	ClerkArm	ClerkSentiment	nocoref_neutral_filter	nocoref_confidence_weighted	nocoref_net_score	nocoref_top_k	nocoref_positional	NoCorefCompletedAt
TYGO	"[""TYGO""]"	nBw3hhQRBa	00:00:00.100	2026-06-17	00:00:00.276	00:00:00.894	Tigo Energy Delivers New GO Optimized Energy Storage System to European Residential Market	Business Wire	44.29	217.86	NASDAQ	2.87	3180.0	3532.7143	2026-06-17 00:00:00.911573	0.3092	0.0125	0.6783	0.2967	positive	OK	accepted:1016	sentiment_ack	0.389	0.5177	0.3756	0.7994	0.3506	2026-06-17 00:00:01.572864
AIDX	"[""AIDX""]"	nNFC7325B1	03:15:16.998	2026-06-17	03:15:17.302	03:15:17.568	HEALWELL AI Provides Corporate Update: Multi-Province AI Pilot Results Accepted at AMIA Symposium; Alongside Balance Sheet Strengthening with SpaceX Holdings	Newsfile Corp	7.04	6.1	TSX	0.5749	2284.8	385.3253	2026-06-17 03:15:17.595482	0.8358	0.0138	0.1504	0.822	positive	OK	accepted:1008	sentiment_ack	0.457	0.556	0.4162	0.8175	0.4621	2026-06-17 03:15:18.273951
BTOC	"[""BTOC""]"	nGNX6pw02D	07:00:00.157	2026-06-17	07:00:00.504	07:00:04.704	ARMLOGI HOLDING CORP. ADVANCES OPERATIONAL READINESS AND NETWORK CAPACITY INITIATIVES AHEAD OF SUMMER PEAK COMMERCE SEASON	Globe Newswire	15.06	14.31	NASDAQ	0.315	3549.2	933.7273	2026-06-17 07:00:04.731018	0.8028	0.0141	0.1831	0.7887	positive	OK	accepted:1010	sentiment_ack	0.5849	0.6555	0.53	0.8828	0.5387	2026-06-17 07:00:05.201435
CANF	"[""CANF""]"	nGNX8ScqCm	07:00:00.257	2026-06-17	07:00:00.801	07:00:05.291	Can-Fite to Present Late-Stage Clinical Pipeline and Licensing Opportunities at BIO International Convention 2026	Globe Newswire	2.1425	6.42	NYSE AMERICAN	3.0	14250.0	341.6818	2026-06-17 07:00:05.312867	0.3213	0.0085	0.6701	0.3128	positive	OK	accepted:1011	sentiment_ack	0.5348	0.5872	0.4403	0.7999	0.3977	2026-06-17 07:00:06.189837
MWG	"[""MWG""]"	nGNX30JZqB	07:00:00.416	2026-06-17	07:00:01.069	07:00:05.475	Multi Ways Holdings Files Annual Report on Form 20-F for Fiscal Year 2025	Globe Newswire	2.86	7.46	NYSE AMERICAN	1.45	7876.4	488.474	2026-06-17 07:00:05.492012	0.0425	0.0411	0.9164	0.0014	neutral	BAD	accepted:1012	sentiment_bad_released	0.163	0.1343	0.0908	0.4084	0.1252	2026-06-17 07:00:06.277962
CLWT	"[""CLWT""]"	nPn8LpkGDa	07:00:03.472	2026-06-17	07:00:03.960	07:00:20.615	Euro Tech Holdings Company Limited Announces The Appointment Of Strategic Partner To Launch Next-Generation Mobile Hybrid Facility For Enhanced Ballast Water Treatment	PR Newswire	3.08	8.89	NASDAQ	1.2	338.1	329.1002	2026-06-17 07:00:20.635348	0.7353	0.0085	0.2562	0.7268	positive	OK	accepted:1015	sentiment_ack	0.2658	0.3776	0.1634	0.6001	0.2361	2026-06-17 07:00:21.061832
IQST	"[""IQST""]"	nPn3yHKmVa	07:58:00.047	2026-06-17	07:58:00.191	07:58:00.414	IQST - IQSTEL Showcasing Growth Strategy, ULTRANET Acquisition, and Share Repurchase Program to Family Offices and Institutional Investors at Planet MicroCap Las Vegas	PR Newswire	6.42	8.09	NASDAQ	1.2	512.0	427.4184	2026-06-17 07:58:00.443078	0.2696	0.0093	0.7211	0.2602	positive	OK	accepted:1016	sentiment_ack	0.3641	0.4678	0.3031	0.828	0.3245	2026-06-17 07:58:00.855081
OXBR	"[""OXBR"", ""OXBRW""]"	nGNX7mqtb5	08:00:00.802	2026-06-17	08:00:01.347	08:00:03.787	SurancePlus Exceeds Return Targets, Delivering 29.3% and 43.4% Annualized Returns on Tokenized Reinsurance Offerings	Globe Newswire	7.05	7.53	NASDAQ	0.93	1704.4	401.3555	2026-06-17 08:00:03.801863	0.8936	0.016	0.0904	0.8775	positive	OK	accepted:1017	sentiment_ack	0.5919	0.6166	0.3303	0.8697	0.4529	2026-06-17 08:00:04.583608
AIMD	"[""AIMD"", ""AIMDW""]"	nACS09WxZa	08:00:00.800	2026-06-17	08:00:01.514	08:00:09.149	Ainos Expands Smell AI Platform into Digital Breath Intelligence Through National Taiwan University Research Program	ACCESSWIRE	2.11	16.03	NASDAQ	1.88	8550.0	1185.0	2026-06-17 08:00:09.172143	0.2321	0.0091	0.7588	0.223	positive	OK	accepted:1018	sentiment_ack	0.2729	0.3504	0.2536	0.6699	0.2188	2026-06-17 08:00:10.202867
BOXL	"[""BOXL""]"	nBw6LzxQya	08:00:00.725	2026-06-17	08:00:01.633	08:00:09.448	Boxlight Announces 1-for-6 Reverse Stock Split of Class A Common Stock	Business Wire	3.15	2.8	NASDAQ	0.7007	1790.1	483.6006	2026-06-17 08:00:09.479001	0.189	0.0452	0.7659	0.1438	positive	BAD	accepted:1019	sentiment_ignored	0.367	0.3001	0.1359	0.6319	0.1672	2026-06-17 08:00:10.292626
DGNX	"[""DGNX""]"	nGNX2L7pCr	08:00:01.287	2026-06-17	08:00:02.070	08:00:10.313	Diginex Announces Extension of Long Stop Date for Proposed Acquisition of Resulticks	Globe Newswire	16.74	28.12	NASDAQ	0.9663	101.5	510.4781	2026-06-17 08:00:10.330790	0.1192	0.0979	0.7828	0.0213	neutral	BAD	accepted:1000	sentiment_bad_released	0.1428	0.1336	0.1107	0.3495	0.1606	2026-06-17 08:00:10.827127
BNKK	"[""BNKK""]"	nACSPSTnza	08:00:01.662	2026-06-17	08:00:03.021	08:00:11.338	Insider Buying: Newly Appointed Bonk, Inc. President Mitchell Rudy Acquires Additional 12,000 Shares	ACCESSWIRE	5.0	10.64	NASDAQ	1.33	222.0	378.7226	2026-06-17 08:00:11.360446	0.1167	0.016	0.8673	0.1007	positive	BAD	accepted:1001	sentiment_bad_released	0.3047	0.4087	0.2345	0.8245	0.317	2026-06-17 08:00:12.201765
LHSW	"[""LHSW""]"	nGNX3MH50P	08:00:01.606	2026-06-17	08:00:03.081	08:00:11.365	Lianhe Sowell International Group Ltd. Announces 1-for-16 Share Consolidation	Globe Newswire	2.35	7.47	NASDAQ	0.1437	289.4	1658.2275	2026-06-17 08:00:11.382394	0.1028	0.0766	0.8206	0.0262	neutral	BAD	accepted:1002	sentiment_ignored	0.1358	0.0924	0.0684	0.2514	0.0881	2026-06-17 08:00:12.307374
MIRA	"[""MIRA""]"	nACSsDXYxa	08:00:01.488	2026-06-17	08:00:03.082	08:00:11.447	MIRA Pharmaceuticals Submits Phase 2a Clinical Trial Protocol to FDA for Ketamir-2 in Chemotherapy-Induced Peripheral Neuropathy	ACCESSWIRE	35.08	39.92	NASDAQ	0.95	2586.9	1248.3467	2026-06-17 08:00:11.462433	0.5328	0.0173	0.4499	0.5156	positive	OK	accepted:1003	sentiment_ack	0.069	0.0241	0.0686	0.3944	0.025	2026-06-17 08:00:13.421157
AZTR	"[""AZTR""]"	nPn9lmw58a	08:00:02.039	2026-06-17	08:00:03.455	08:00:11.953	Azitra, Inc. CEO Issues Letter to Shareholders Detailing Strategic Reorientation Initiatives and Outlook for 2026 and Beyond	PR Newswire	16.19	2.98	NYSE AMERICAN	0.1841	1118.6	1129.0833	2026-06-17 08:00:12.019274	0.1348	0.0275	0.8377	0.1073	positive	BAD	accepted:1004	sentiment_ignored	0.4687	0.5468	0.4085	0.7778	0.3939	2026-06-17 08:00:13.530483
