Symbol	Tickers	ID	ArrivalTime	Headline	Author	Float	positive	negative	neutral	sentiment_score	label	Trades/sec	Trigger	Exchange	DailyHigh($)	DailyHigh(%)	FinBERTCompletedAt	body_sentiment	BodyCompletedAt	body_duration_ms	neutral_filter	confidence_weighted	net_score	top_k	positional	recommended
NUAI	"[""NUAI""]"	nACS5rQ3ya	2026-05-03 20:35:00	ROSEN, A RANKED AND LEADING LAW FIRM, Encourages New Era Energy & Digital, Inc. Investors to Secure Counsel Before Important Deadline in Securities Class Action - NUAI	ACCESSWIRE	73.85	0.3002	0.0357	0.6641	0.2645	positive		NO:Float,Trades/sec	NASDAQ	4.18	3.98					0.0	0.0005	0.0009	0.0009	-0.0095	0.0
YOOV	"[""YOOV""]"	nACSgFgDja	2026-05-03 20:45:01	ROSEN, A GLOBALLY RECOGNIZED FIRM, Encourages Concorde International Group Ltd. Investors to Secure Counsel Before Important Deadline in Securities Class Action - YOOV	ACCESSWIRE	5.91	0.1701	0.0358	0.7941	0.1342	positive	0.0227027027027027	NO:sentiment_score	NASDAQ	1.63	4.49					0.0	0.0159	0.0126	0.0162	0.0157	0.0
GOSS	"[""GOSS""]"	nACS1P7Nba	2026-05-03 21:20:00	ROSEN, A RANKED AND LEADING FIRM, Encourages Gossamer Bio, Inc. Investors to Secure Counsel Before Important Deadline in Securities Class Action - GOSS	ACCESSWIRE	204.1	0.2289	0.0427	0.7284	0.1862	positive	0.0019719976336028	NO:sentiment_score,Float	NASDAQ	0.38	2.7					0.0	0.0265	0.0199	0.026	0.0284	0.0
MOLN	"[""MOLN""]"	nGNX5wxm0N	2026-05-04 01:00:00	Molecular Partners to hold oral presentations on DLL3-targeting Radio-DARPin candidate MP0712 at multiple upcoming scientific conferences	Globe Newswire	37.31	0.2464	0.0122	0.7415	0.2342	positive	0.0058428279287175	YES								0.2811	0.1815	0.1144	0.2811	0.1747	0.2935
BTGO	"[""BTGO""]"	nBw6Kfzbka	2026-05-04 03:00:00	BitGo Expands European ETP Infrastructure with Appointment as Custody Partner for Virtune	Business Wire	65.1	0.5196	0.0092	0.4712	0.5104	positive	0.0020889910173386	NO:Float	NYSE	11.75	13.53					0.4236	0.5127	0.3205	0.7933	0.4335	0.5567
ELSE	"[""ELSE""]"	nBw1FY9GNa	2026-05-04 04:00:00	Battery Ventures-Backed steute Technologies Announces Three New Acquisitions to Expand its Global Platform Across Medical and Industrial Applications	Business Wire	1.63	0.7774	0.0089	0.2137	0.7685	positive	0.0032611918173732	YES	NASDAQ	7.66	0.39					0.5082	0.5082	0.5082	0.5082	0.5082	0.5082
GENK	"[""GENK""]"	nGNXbhQlMb	2026-05-04 04:00:00	GEN Korean BBQ Further Expands CPG Line with Specialty Beverage Retailer: BevMo	Globe Newswire	4.69	0.9141	0.012	0.0739	0.9021	positive		NO:Trades/sec	NASDAQ	1.78	9.2					0.4829	0.449	0.3501	0.3501	0.4237	0.4859
CWH	"[""CWH""]"	nPn8JJKY2a	2026-05-04 04:13:00	Camping World Holdings, Inc. Sued for Securities Law Violations - Contact the DJS Law Group to Discuss Your Rights - CWH	PR Newswire	58.96	0.1161	0.0967	0.7873	0.0194	neutral	0.0118110236220472	NO:sentiment_score,Float	NYSE	7.96	2.45					-0.113	-0.1952	-0.0521	0.186	-0.071	-0.2455
GEMI	"[""GEMI""]"	nPn1gjQNKa	2026-05-04 04:16:00	GEMI Investors Have Opportunity to Lead Gemini Space Station, Inc. Securities Fraud Lawsuit with the Schall Law Firm	PR Newswire	38.2	0.2133	0.0388	0.748	0.1745	positive	0.0496277915632754	NO:sentiment_score	NASDAQ	5.0	5.26					-0.2663	-0.3147	-0.1383	-0.2625	-0.1214	-0.3768
GOCO	"[""GOCO""]"	nNFC5K93qh	2026-05-04 05:00:20	"Go Metals Produces Premium ""Green Iron"" Concentrate with Vanadium Credit and High-Grade TiO2 Ilmenite from Bench-scale Testing and Announces Private Placement"	Newsfile Corp	11.8	0.5547	0.0123	0.433	0.5425	positive		NO:Trades/sec								0.4871	0.6123	0.4871	0.575	0.5592	0.6123
