Symbol	Tickers	ID	ArrivalTime	Headline	Author	Float	positive	negative	neutral	sentiment_score	label	Trades/sec	Trigger	Exchange
MOLN	"[""MOLN""]"	nGNX5wxm0N	2026-05-04 01:00:00	Molecular Partners to hold oral presentations on DLL3-targeting Radio-DARPin candidate MP0712 at multiple upcoming scientific conferences	Globe Newswire	37.31	0.2464	0.0122	0.7415	0.2342	positive	0.0058428279287175	YES	
BTGO	"[""BTGO""]"	nBw6Kfzbka	2026-05-04 03:00:00	BitGo Expands European ETP Infrastructure with Appointment as Custody Partner for Virtune	Business Wire	65.1	0.5196	0.0092	0.4712	0.5104	positive	0.0020889910173386	NO:Float	NYSE
ELSE	"[""ELSE""]"	nBw1FY9GNa	2026-05-04 04:00:00	Battery Ventures-Backed steute Technologies Announces Three New Acquisitions to Expand its Global Platform Across Medical and Industrial Applications	Business Wire	1.63	0.7774	0.0089	0.2137	0.7685	positive	0.0032611918173732	YES	NASDAQ
GENK	"[""GENK""]"	nGNXbhQlMb	2026-05-04 04:00:00	GEN Korean BBQ Further Expands CPG Line with Specialty Beverage Retailer: BevMo	Globe Newswire	4.69	0.9141	0.012	0.0739	0.9021	positive		NO:Trades/sec	NASDAQ
CWH	"[""CWH""]"	nPn8JJKY2a	2026-05-04 04:13:00	Camping World Holdings, Inc. Sued for Securities Law Violations - Contact the DJS Law Group to Discuss Your Rights - CWH	PR Newswire	58.96	0.1161	0.0967	0.7873	0.0194	neutral	0.0118110236220472	NO:sentiment_score,Float	NYSE
GEMI	"[""GEMI""]"	nPn1gjQNKa	2026-05-04 04:16:00	GEMI Investors Have Opportunity to Lead Gemini Space Station, Inc. Securities Fraud Lawsuit with the Schall Law Firm	PR Newswire	38.2	0.2133	0.0388	0.748	0.1745	positive	0.0496277915632754	NO:sentiment_score	NASDAQ
GOCO	"[""GOCO""]"	nNFC5K93qh	2026-05-04 05:00:20	"Go Metals Produces Premium ""Green Iron"" Concentrate with Vanadium Credit and High-Grade TiO2 Ilmenite from Bench-scale Testing and Announces Private Placement"	Newsfile Corp	11.8	0.5547	0.0123	0.433	0.5425	positive		NO:Trades/sec	
AUUD	"[""AUUD""]"	nGNX4nwJWx	2026-05-04 06:00:00	Auddia Introduces Voyex as Stranded Spirit Airlines Passengers Highlight Urgent Need for Agentic AI Rebooking Infrastructure	Globe Newswire	0.5	0.1621	0.1851	0.6528	-0.0229	neutral	0.0471869328493647	NO:sentiment_score	NASDAQ
SNT	"[""SNT""]"	nPn9j7gHfa	2026-05-04 06:00:00	Senstar Technologies Announces Filing and Availability of 2025 Annual Report on Form 20-F	PR Newswire	13.47	0.0747	0.0383	0.8869	0.0364	neutral		NO:sentiment_score,Trades/sec	NASDAQ
AURA	"[""AURA""]"	nGNXbFRcs7	2026-05-04 06:01:00	Aura Biosciences Announces CEO Transition as Company Advances Phase 3 CoMpass Trial Toward Enrollment Completion 	Globe Newswire	44.71	0.3137	0.1382	0.5481	0.1754	positive		NO:sentiment_score,Trades/sec	NASDAQ
