Symbol	Tickers	ID	ArrivalTime	Headline	Author	Float	positive	negative	neutral	sentiment_score	label	Trades/sec	Trigger
EGY	"[""EGY""]"	nGNXRMMg4	2026-05-05 02:00:00	VAALCO Schedules First Quarter 2026  Earnings Release and Conference Call	Globe Newswire	101.33	0.0349	0.0465	0.9186	-0.0116	neutral	0.0014279594459517349	NO:sentiment_score
AUDC	"[""AUDC""]"	nPn4TC0d6a	2026-05-05 02:00:03	AudioCodes Reports First Quarter 2026 Results	PR Newswire	16.53	0.0727	0.0579	0.8695	0.0148	neutral	0.002179512581731722	NO:sentiment_score
TRAD	"[""TRAD""]"	nWkr3JKzp5	2026-05-05 02:00:20	Tradedoubler Quarterly Report January - March 2026	Cision	11.56	0.0759	0.092	0.8321	-0.0161	neutral	0.0625	NO:sentiment_score
BRAI	"[""BRAI""]"	nPRr57207a	2026-05-05 02:00:23	REG-BlackRock American Income Trust Plc: Total Voting Rights	PR Newswire	17.7	0.0747	0.0127	0.9126	0.062	positive	0.032	NO:sentiment_score
SPAI	"[""SPAI""]"	nGNX4Q7860	2026-05-05 02:49:11	SPARC AI Hires Senergy Communication Capital	Globe Newswire	12.96	0.1911	0.0447	0.7643	0.1464	positive	0.004342900302114804	NO:sentiment_score
GENK	"[""GENK""]"	nGNX3jjj7Y	2026-05-05 04:00:00	GEN Korean BBQ to sell CPG Ready-to-Cook Meats at Stater Brothers	Globe Newswire	4.69	0.1601	0.0117	0.8282	0.1484	positive	0.001809253036960455	NO:sentiment_score
TTEC	"[""TTEC""]"	nGNE4cyKRg	2026-05-05 04:00:00	ECCA and TTEC Release “Visionary Voices” Research on the Future of Contact Centre Sales in Europe	Globe Newswire	19.94	0.1677	0.0314	0.801	0.1363	positive		NO:sentiment_score,Trades/sec
AWX	"[""AWX""]"	nPn1lmm6Ja	2026-05-05 05:05:00	AVALON HOLDINGS CORPORATION ANNOUNCES FIRST QUARTER RESULTS	PR Newswire	1.92	0.125	0.1218	0.7532	0.0032	neutral		NO:sentiment_score,Trades/sec
SJ	"[""SJ""]"	nGNX8vqTdM	2026-05-05 06:00:00	Reminder - Stella-Jones’ First Quarter 2026 Results Conference Call and Annual Meeting of Shareholders	Globe Newswire	15.35	0.0945	0.0454	0.8601	0.0491	neutral		NO:sentiment_score,Trades/sec
AVR	"[""AVR""]"	nGNXM7rMy	2026-05-05 06:00:00	Anteris Technologies Announces First U.S. Patients Treated in Global Pivotal PARADIGM Trial	Globe Newswire	81.18	0.235	0.024	0.7409	0.211	positive	0.00036563071297989033	YES
AUUD	"[""AUUD""]"	nGNX3M61bD	2026-05-05 06:00:00	Auddia Highlights LT350’s AI Infrastructure that Doesn’t Compete for Power, Water, or Land as Large Datacenters Face Restrictions	Globe Newswire	0.5	0.4367	0.0143	0.5489	0.4224	positive	0.019590382902938557	YES
DNUT	"[""DNUT""]"	nBw6Bh32ka	2026-05-05 06:00:00	Mini Doughnuts, Big Thanks: Krispy Kreme® Launches Minis for Mom Collection Just in Time to Celebrate Mother’s Day	Business Wire	90.4	0.4093	0.0875	0.5031	0.3218	positive	0.0013972985561248254	YES
CRNT	"[""CRNT""]"	nPn6bQnMHa	2026-05-05 06:00:08	Ceragon Receives Approximately $86 Million in Orders from Operators in India Year-To-Date, Reinforcing 2026 Outlook	PR Newswire	83.1	0.7899	0.013	0.1971	0.7768	positive	0.05660377358490566	YES
HITI	"[""HITI""]"	nPn3TCjf9a	2026-05-05 06:00:09	High Tide Executes a Term Sheet for $40MM of Credit Facilities with a Big 5 Canadian Chartered Bank As its New Senior Lender	PR Newswire	76.71	0.2259	0.0115	0.7626	0.2144	positive		NO:Trades/sec
SQNS	"[""SQNS""]"	nNFC5fgJJQ	2026-05-05 06:22:22	Sequans Communications Preliminary Unaudited First Quarter 2026 Financial Results	Newsfile Corp	15.96	0.1121	0.1156	0.7723	-0.0035	neutral	0.0037288587028898655	NO:sentiment_score
EMBC	"[""EMBC""]"	nGNXbB3SYk	2026-05-05 06:30:00	embecta Announces Quarterly Cash Dividend	Globe Newswire	54.38	0.1004	0.0873	0.8123	0.013	neutral	0.001526051885764116	NO:sentiment_score
FTCI	"[""FTCI""]"	nGNX3SQWTK	2026-05-05 06:30:00	FTC Solar Announces First Quarter 2026 Financial Results and Leadership Transition	Globe Newswire	11.66	0.2615	0.0447	0.6938	0.2168	positive	0.018535681186283594	YES
SAFX	"[""SAFX""]"	nACSQMbJ8a	2026-05-05 06:30:01	WTI Jumps >3% to ~$105.46 as Strait of Hormuz Reports Signal Near Standstill in Corridor That Typically Moves ~20MM Barrels/Day	ACCESSWIRE	32.88	0.5851	0.231	0.1839	0.354	positive	0.02385685884691849	YES
GPK	"[""GPK""]"	nPn77Bhna	2026-05-05 06:30:03	Graphic Packaging Holding Company Reports First Quarter 2026 Financial Results	PR Newswire	291.17	0.1327	0.1162	0.7511	0.0165	neutral		NO:sentiment_score,Trades/sec
CWH	"[""CWH""]"	nPn8wR39Wa	2026-05-05 06:36:00	CWH Legal Alert: Camping World Hit with Securities Fraud Class Action Over Inventory Management Issues and Corresponding 24% Stock Drop	PR Newswire	58.96	0.0324	0.8892	0.0784	-0.8568	negative	0.023529411764705882	NO:sentiment_score
LAC	"[""LAC""]"	nBwvj4SNa	2026-05-05 06:55:00	Lithium Americas Appoints Clayton Walker to the Board of Directors	Business Wire	184.49	0.0742	0.0301	0.8957	0.044	neutral	0.044642857142857144	NO:sentiment_score
BRAI	"[""BRAI""]"	nPRr58507a	2026-05-05 06:56:52	REG-BlackRock American Income Trust Plc: Net Asset Value(s)	PR Newswire	17.7	0.0711	0.0375	0.8914	0.0336	neutral	0.0008366450533361222	NO:sentiment_score
QTTB	"[""QTTB""]"	nPnbKkZ1Pa	2026-05-05 06:59:00	Q32 Bio Reports First Quarter 2026 Financial Results and Provides Corporate Update	PR Newswire	7.42	0.0808	0.0301	0.8891	0.0506	positive	0.0005390835579514825	NO:sentiment_score
GUTS	"[""GUTS""]"	nGNX2b9ncJ	2026-05-05 07:00:00	Fractyl Health to Report First Quarter 2026 Financial Results and Provide Business Updates on May 12, 2026, and Will Participate in an Upcoming Investor Conference	Globe Newswire	132.59	0.1268	0.0279	0.8453	0.0989	positive	0.0019594396002743215	NO:sentiment_score
CLRB	"[""CLRB""]"	nGNXcgx7Nf	2026-05-05 07:00:00	Cellectar Biosciences Announces Oversubscribed Financing Up to $140 Million	Globe Newswire	3.98	0.1419	0.128	0.7301	0.0139	neutral		NO:sentiment_score,Trades/sec
OCUL	"[""OCUL""]"	nGNX5t8Kkt	2026-05-05 07:00:00	Ocular Therapeutix™ Reports First Quarter 2026 Financial Results and Business Highlights	Globe Newswire	196.84	0.1716	0.043	0.7854	0.1285	positive	0.0028559188919034697	NO:sentiment_score
