Symbol	Tickers	ID	ArrivalTime	Headline	Author	Float	FinBERTCompletedAt	positive	negative	neutral	sentiment_score	label	body_sentiment	BodyCompletedAt	body_duration_ms	Trigger
AIIO	"[""AIIO""]"	nPreGSLcwa	2026-05-14 00:00:00	Robo.ai Subsidiary Neurovia AI Launches NeuroStream™ Technology Platform to Build Physical AI Visual Data Infrastructure	PR Newswire	13.53	2026-05-14 00:00:00.286869	0.1671	0.0122	0.8207	0.1548	positive		2026-05-14 00:00:01.574972	1389.23	NO:sentiment_score
IHG	"[""IHG""]"	nACSwrp54a	2026-05-14 02:00:00	InterContinental Hotels Group PLC Announces Transaction in Own Shares - May 14	ACCESSWIRE	149.25	2026-05-14 02:00:00.698131	0.0646	0.0268	0.9086	0.0378	neutral		2026-05-14 02:00:01.164580	533.31	NO:sentiment_score,Float
EYE	"[""EYE""]"	nPrecC9MZa	2026-05-14 02:00:01	UK's Leading CPG Coupon Validation Platform Now a Part of Eagle Eye	PR Newswire	77.42	2026-05-14 02:00:01.543727	0.0963	0.0194	0.8842	0.0769	positive		2026-05-14 02:00:02.772333	1321.25	NO:sentiment_score,Float
BRAI	"[""BRAI""]"	nPRrE1932a	2026-05-14 02:00:17	REG-BlackRock American Income Trust Plc: Total Voting Rights	PR Newswire	17.7	2026-05-14 02:00:17.712348	0.0747	0.0127	0.9126	0.062	positive		2026-05-14 02:00:17.978027	380.6	NO:sentiment_score
RIO	"[""RIO""]"	nBw59TJ7Ta	2026-05-14 02:33:00	Rio Tinto appoints new Chief Legal Officer	Business Wire	1250.0	2026-05-14 02:33:00.255336	0.1116	0.0942	0.7941	0.0174	neutral		2026-05-14 02:33:00.992770	823.81	NO:sentiment_score,Float
GEMI	"[""GEMI""]"	nPn4NlLNBa	2026-05-14 03:09:00	Gemini Space Station, Inc. Sued for Securities Law Violations - Contact the DJS Law Group to Discuss Your Rights - GEMI	PR Newswire	38.2	2026-05-14 03:09:00.192549	0.1145	0.0539	0.8315	0.0606	positive	0.0285	2026-05-14 03:09:00.925529	817.67	NO:sentiment_score
III	"[""III""]"	nBw7RyPx3a	2026-05-14 04:00:00	European Aerospace, Defense Firms Advance Modernization	Business Wire	33.28	2026-05-14 04:00:00.462920	0.2173	0.0189	0.7638	0.1984	positive	0.409	2026-05-14 04:00:01.778641	1387.41	NO:sentiment_score
AIIO	"[""AIIO""]"	nPn3CwzYFa	2026-05-14 05:00:00	Robo.ai Subsidiary Neurovia AI Launches NeuroStream™ Technology Platform to Build Physical AI Visual Data Infrastructure	PR Newswire	13.53	2026-05-14 05:00:00.512089	0.1671	0.0122	0.8207	0.1548	positive		2026-05-14 05:00:02.132230	1718.24	NO:sentiment_score
SHEL	"[""SHEL""]"	nGNEbKJMv1	2026-05-14 05:31:49	REG-Shell plc - Report on Payments to Governments for the year 2025 	Globe Newswire	2800.0	2026-05-14 05:31:49.755104	0.0911	0.0244	0.8845	0.0666	positive		2026-05-14 05:32:03.359025	13695.95	NO:sentiment_score,Float
EZRA	"[""EZRA""]"	nGNE1lYYzH	2026-05-14 06:00:00	Reliance Global Group Announces Reverse Stock Split	Globe Newswire	7.47	2026-05-14 06:00:00.435824	0.1386	0.2082	0.6532	-0.0696	negative	0.2546	2026-05-14 06:00:03.742141	3395.36	NO:sentiment_score
JOB	"[""JOB""]"	nACSDhgtJa	2026-05-14 06:00:00	GEE Group Announces Filing of a Universal Shelf Registration Statement on Form S-3 for Financial Flexibility	ACCESSWIRE	89.43	2026-05-14 06:00:00.804061	0.3213	0.0451	0.6336	0.2762	positive	-0.0287	2026-05-14 06:00:05.605579	4880.25	NO:sentiment_score,Float
RMTI	"[""RMTI""]"	nBwxmCzVa	2026-05-14 06:00:00	Rockwell Medical Signs New 3-Year Product Purchase Agreement with Heritage Dialysis	Business Wire	34.15	2026-05-14 06:00:00.908732	0.8353	0.0117	0.153	0.8235	positive	0.3885	2026-05-14 06:00:05.764684	2018.66	YES
RYDE	"[""RYDE""]"	nACSc4yKPa	2026-05-14 06:00:00	Ryde is Back in Compliance With all of The NYSE American LLC Continued Listing Standards 	ACCESSWIRE	96.49	2026-05-14 06:00:00.958886	0.4226	0.0411	0.5363	0.3814	positive	0.1359	2026-05-14 06:00:07.020024	1406.83	NO:sentiment_score,Float
MTEK	"[""MTEK""]"	nNFC4CLtrS	2026-05-14 06:00:20	Metatek-Group Ltd. Reports First Quarter Fiscal Year 2026 Results	Newsfile Corp	5.82	2026-05-14 06:00:20.948320	0.0476	0.0527	0.8997	-0.0051	neutral		2026-05-14 06:00:23.732715	2881.11	NO:sentiment_score
CTNT	"[""CTNT""]"	nGNX3C6xzL	2026-05-14 06:05:00	Cheetah Net Supply Chain Service Inc. Announces First Quarter 2026 Results and Provides Corporate Update	Globe Newswire	36.03	2026-05-14 06:05:00.424673	0.0752	0.0464	0.8784	0.0289	neutral	-0.1981	2026-05-14 06:05:03.753228	3396.23	NO:sentiment_score
AIRO	"[""AIRO""]"	nBw3Dnfkza	2026-05-14 06:29:00	AIRO Reports First Quarter 2026 Results	Business Wire	20.02	2026-05-14 06:29:00.491849	0.0795	0.0519	0.8686	0.0276	neutral	0.2948	2026-05-14 06:29:04.805919	4407.78	NO:sentiment_score
IDR	"[""IDR""]"	nBwbtfxKVa	2026-05-14 06:30:00	Idaho Strategic Reports Record First Quarter 2026 Operating and Financial Performance	Business Wire	14.93	2026-05-14 06:30:00.553079	0.6816	0.1166	0.2018	0.5651	positive	0.462	2026-05-14 06:30:06.744649	6213.46	NO:sentiment_score
BURU	"[""BURU""]"	nBw8Vf2d1a	2026-05-14 06:30:00	NUBURU Expects to Report Positive Stockholders’ Equity and Provides NYSE American Listing Compliance Update	Business Wire	153.19	2026-05-14 06:30:00.679308	0.8846	0.0122	0.1032	0.8725	positive		2026-05-14 06:30:08.432255	1685.63	NO:Float
FENC	"[""FENC""]"	nGNXbFC88G	2026-05-14 06:30:00	Fennec Pharmaceuticals Reports First Quarter 2026 Financial Results and Provides Business Update	Globe Newswire	29.51	2026-05-14 06:30:00.507259	0.0754	0.025	0.8996	0.0505	positive	0.1642	2026-05-14 06:30:10.078211	9642.49	NO:sentiment_score
BRAG	"[""BRAG""]"	nBwbZnXLQa	2026-05-14 06:30:00	Bragg Gaming Group Accelerates Games-First Strategy with Acquisition of Drayton International	Business Wire	20.5	2026-05-14 06:30:00.702096	0.2889	0.0118	0.6993	0.2771	positive	0.3489	2026-05-14 06:30:20.553787	12115.54	NO:sentiment_score
SBC	"[""SBC""]"	nBw5qyLNwa	2026-05-14 06:30:00	SBC Medical Group Holdings Announces First Quarter 2026 Financial Results	Business Wire	6.35	2026-05-14 06:30:00.914554	0.108	0.088	0.804	0.02	neutral		2026-05-14 06:30:22.610390	12535.38	NO:sentiment_score
TMQ	"[""TMQ""]"	nPnbtsZcJa	2026-05-14 06:30:00	Trilogy Metals Announces Election of Directors and Voting Results from the 2026 Annual Meeting of Shareholders	PR Newswire	108.61	2026-05-14 06:30:01.054931	0.0549	0.0276	0.9176	0.0273	neutral	0.171	2026-05-14 06:30:23.698006	3142.08	NO:sentiment_score,Float
VZLA	"[""VZLA""]"	nPnVqq6Ja	2026-05-14 06:30:01	VIZSLA SILVER APPOINTS FORMER SENIOR MEXICAN GOVERNMENT MINING OFFICIAL AS VICE PRESIDENT, GOVERNMENT RELATIONS	PR Newswire	330.22	2026-05-14 06:30:02.036950	0.0776	0.0402	0.8822	0.0374	neutral	0.2079	2026-05-14 06:30:26.237111	3616.86	NO:sentiment_score,Float
